漢方名,ひらがな,フリガナ,検索用,配合生薬
小柴胡湯加桔梗石膏,しょうさいことうかききょうせっこう,ショウサイコトウカキキョウセッコウ,小柴胡湯加桔梗石膏(しょうさいことうかききょうせっこう),柴胡、黄芩、人参、甘草、大棗、生姜、半夏、桔梗、石膏
小承気湯,しょうじょうきとう,ショウジョウキトウ,小承気湯(しょうじょうきとう),大黄、枳実、厚朴
小青竜湯,しょうせいりゅうとう,ショウセイリュウトウ,小青竜湯(しょうせいりゅうとう),麻黄、桂皮、芍薬、細辛、乾姜、五味子、半夏、甘草
小半夏加茯苓湯,しょうはんげかぶくりょうとう,ショウハンゲカブクリョウトウ,小半夏加茯苓湯(しょうはんげかぶくりょうとう),半夏、生姜、茯苓
消風散,しょうふうさん,ショウフウサン,消風散(しょうふうさん),当帰、地黄、石膏、防風、蒼朮、木通、牛蒡子、知母、胡麻、蝉退、苦参、荊芥、甘草
升麻葛根湯,しょうまかっこんとう,ショウマカッコントウ,升麻葛根湯(しょうまかっこんとう),升麻、葛根、芍薬、生姜、甘草
生脈散,しょうみゃくさん,ショウミャクサン,生脈散(しょうみゃくさん),人参、五味子、麦門冬
逍遙散,しょうようさん,ショウヨウサン,逍遙散(しょうようさん),柴胡、当帰、芍薬、茯苓、白朮、甘草、生姜、薄荷
四苓湯,しれいとう,シレイトウ,四苓湯(しれいとう),沢瀉、茯苓、白朮、猪苓
辛夷清肺湯,しんいせいはいとう,シンイセイハイトウ,辛夷清肺湯(しんいせいはいとう),黄芩、石膏、知母、山梔子、升麻、麦門冬、百合、枇杷葉、辛夷
参蘇飲,じんそいん,ジンソイン,参蘇飲(じんそいん),人参、蘇葉、葛根、前胡、桔梗、陳皮、半夏、茯苓、甘草、枳実、木香、乾姜、大棗
心脾顆粒,しんぴかりゅう,シンピカリュウ,心脾顆粒(しんぴかりゅう),黄耆、党参、白朮、甘草、茯苓、当帰、竜眼肉、酸棗仁、遠志、木香
神秘湯,しんぴとう,シンピトウ,神秘湯(しんぴとう),麻黄、杏仁、厚朴、陳皮、柴胡、蘇葉、甘草
真武湯,しんぶとう,シンブトウ,真武湯(しんぶとう),白朮、茯苓、芍薬、生姜、附子
参苓白朮散,じんれいびゃくじゅつさん,ジンレイビャクジュツサン,参苓白朮散(じんれいびゃくじゅつさん),人参、山薬、白朮、茯苓、薏苡仁、扁豆、蓮肉、桔梗、縮砂、甘草
清上蠲痛湯,せいじょうけんつうとう,セイジョウケンツウトウ,清上蠲痛湯(せいじょうけんつうとう),黄芩、麦門冬、白芷、防風、蒼朮、当帰、川芎、羌活、独活、蔓荊子、菊花、細辛、生姜、甘草
清上防風湯,せいじょうぼうふうとう,セイジョウボウフウトウ,清上防風湯(せいじょうぼうふうとう),荊芥、黄連、薄荷、枳実、甘草、山梔子、川芎、黄芩、連翹、白芷、桔梗、浜防風
清暑益気湯,せいしょえっきとう,セイショエッキトウ,清暑益気湯(せいしょえっきとう),人参、白朮、麦門冬、当帰、黄耆、陳皮、五味子、黄柏、甘草
清心蓮子飲,せいしんれんしいん,セイシンレンシイン,清心蓮子飲(せいしんれんしいん),黄芩、地骨皮、車前子、蓮肉、茯苓、人参、黄耆、麦門冬、甘草
清肺湯,せいはいとう,セイハイトウ,清肺湯(せいはいとう),黄芩、山梔子、杏仁、桔梗、桑白皮、天門冬、麦門冬、竹茹、貝母、陳皮、茯苓、当帰、五味子、生姜、大棗、甘草
折衝飲,せっしょういん,セッショウイン,折衝飲(せっしょういん),当帰、芍薬、桂皮、川芎、牛膝、桃仁、紅花、延胡索、牡丹皮
洗肝明目湯,せんかんめいもくとう,センカンメイモクトウ,洗肝明目湯(せんかんめいもくとう),地黄、当帰、芍薬、川芎、黄連、黄芩、山梔子、荊芥、防風、羌活、薄荷、石膏、桔梗、連翹、決明子、蒺藜子、蔓荊子、菊花、甘草
川芎茶調散,せんきゅうちゃちょうさん,センキュウチャチョウサン,川芎茶調散(せんきゅうちゃちょうさん),荊芥、防風、白芷、羌活、川芎、薄荷、香附子、甘草、茶葉
千金鶏鳴散,せんきんけいめいさん,センキンケイメイサン,千金鶏鳴散(せんきんけいめいさん),大黄、桃仁、当帰
千金内托散,せんきんないたくさん,センキンナイタクサン,千金内托散(せんきんないたくさん),当帰、川芎、桂皮、防風、白芷、桔梗、黄耆、人参、甘草、金銀花、厚朴
銭氏白朮散,せんしびゃくじゅつさん,センシビャクジュツサン,銭氏白朮散(せんしびゃくじゅつさん),白朮、茯苓、葛根、人参、木香、甘草、藿香
続命湯,ぞくめいとう,ゾクメイトウ,続命湯(ぞくめいとう),人参、生姜、甘草、当帰、川芎、桂皮、杏仁、石膏、麻黄
疎経活血湯,そけいかっけつとう,ソケイカッケツトウ,疎経活血湯(そけいかっけつとう),当帰、地黄、川芎、白朮、茯苓、桃仁、芍薬、牛膝、防已、防風、竜胆、生姜、陳皮、白芷、甘草、威霊仙、羌活
